id,name,code,township_id:id
town_001,Bogale Town,MMR017024701,township_001
town_002,Danubyu Town,MMR017022701,township_002
town_003,Dedaye Town,MMR017026701,township_003
town_004,Einme Town,MMR017015701,township_004
town_005,Du Yar Town,MMR017008703,township_005
town_006,Hinthada Town,MMR017008701,township_005
town_007,Ta Loke Htaw Town,MMR017008702,township_005
town_008,Htoogyi Town,MMR017013702,township_006
town_009,Ingapu Town,MMR017013701,township_006
town_010,Me Za Li Kone Town,MMR017013703,township_006
town_011,Kangyidaunt Town,MMR017002701,township_007
town_012,Kyaiklat Town,MMR017025701,township_008
town_013,Batye Town,MMR017012702,township_009
town_014,Kyangin Town,MMR017012701,township_009
town_015,Kyaunggon Town,MMR017007701,township_010
town_016,Ahtaung Town,MMR017005702,township_011
town_017,Kyonpyaw Town,MMR017005701,township_011
town_018,Hainggyikyun Town,MMR017016704,township_012
town_019,Labutta (3) Mile Town,MMR017016703,township_012
town_020,Labutta Town,MMR017016701,township_012
town_021,Pyinsalu Town,MMR017016702,township_012
town_022,Lemyethna Town,MMR017010701,township_013
town_023,Maubin Town,MMR017019701,township_014
town_024,Mawlamyinegyun Town,MMR017018701,township_015
town_025,In Pin Town,MMR017011703,township_016
town_026,Kanaung Town,MMR017011702,township_016
town_027,Myanaung Town,MMR017011701,township_016
town_028,Myaungmya Town,MMR017014701,township_017
town_029,Hainggyikyun Town,MMR017004703,township_018
town_030,Ngapudaw Town,MMR017004701,township_018
town_031,Ngayokekaung Town,MMR017004702,township_018
town_032,Nyaungdon Town,MMR017021701,township_019
town_033,Pantanaw Town,MMR017020701,township_020
town_034,Chaung Thar Town,MMR017001704,township_021
town_035,Ngwesaung Town,MMR017001703,township_021
town_036,Pathein Town,MMR017001701,township_021
town_037,Shwethaungyan Town,MMR017001702,township_021
town_038,Ahmar Town,MMR017023702,township_022
town_039,Pyapon Town,MMR017023701,township_022
town_040,Thabaung Town,MMR017003701,township_023
town_041,Kyonmangae Town,MMR017017702,township_024
town_042,Wakema Town,MMR017017701,township_024
town_043,Ahthoke Town,MMR017006703,township_025
town_044,Ngathaingchaung Town,MMR017006702,township_025
town_045,Yegyi Town,MMR017006701,township_025
town_046,Zalun Town,MMR017009701,township_026
town_047,Bago Town,MMR007001701,township_027
town_048,Hpayargyi Town,MMR007001702,township_027
town_049,Inntakaw Town,MMR007001703,township_027
town_050,Daik-U Town,MMR007007701,township_028
town_051,Htantabin Town,MMR007014701,township_029
town_052,Kawa Town,MMR007003701,township_030
town_053,Thetkala Town,MMR007003702,township_030
town_054,Kyaukkyi Town,MMR007011701,township_031
town_055,Hpa Do Town,MMR007006703,township_032
town_056,Kyauktaga Town,MMR007006701,township_032
town_057,Penwegon Town,MMR007006702,township_032
town_058,Madauk Town,MMR007005702,township_033
town_059,Nyaunglebin Town,MMR007005701,township_033
town_060,Peinzalok Town,MMR007005704,township_033
town_061,Pyuntasa Town,MMR007005703,township_033
town_062,Kywe Pwe Town,MMR007013702,township_034
town_063,Oktwin Town,MMR007013701,township_034
town_064,Kanyutkwin Town,MMR007012702,township_035
town_065,Phyu Town,MMR007012701,township_035
town_066,Zayyawadi Town,MMR007012703,township_035
town_067,Shwegyin Town,MMR007008701,township_036
town_068,Kaytumati Town,MMR007009702,township_037
town_069,Taungoo Town,MMR007009701,township_037
town_070,Thanatpin Town,MMR007002701,township_038
town_071,Waw Town,MMR007004701,township_039
town_072,Hswar Town,MMR007010702,township_040
town_073,Myo Hla Town,MMR007010704,township_040
town_074,Yae Ni Town,MMR007010703,township_040
town_075,Yedashe Town,MMR007010701,township_040
town_076,Gyobingauk Town,MMR008014701,township_041
town_077,Letpadan Town,MMR008008701,township_042
town_078,Minhla Town,MMR008009701,township_043
town_079,Sit Kwin Town,MMR008009702,township_043
town_080,Monyo Town,MMR008013701,township_044
town_081,Nattalin Town,MMR008012701,township_045
town_082,Tar Pun Town,MMR008012702,township_045
town_083,Oe Thei Kone Town,MMR008010702,township_046
town_084,Okpho Town,MMR008010701,township_046
town_085,Oakshitpin Town,MMR008003702,township_047
town_086,Padaung Town,MMR008003701,township_047
town_087,Paukkhaung Town,MMR008002701,township_048
town_088,Paungde Town,MMR008004701,township_049
town_089,Paungdale Town,MMR008001702,township_050
town_090,Pyay Town,MMR008001701,township_050
town_091,Shwedaung Town,MMR008006701,township_051
town_092,Thayarwady Town,MMR008007701,township_052
town_093,Thonse Town,MMR008007702,township_052
town_094,Inn Ma Town,MMR008005703,township_053
town_095,Puteekone Town,MMR008005702,township_053
town_096,Sin Mee Swea Town,MMR008005704,township_053
town_097,Thegon Town,MMR008005701,township_053
town_098,Zigon Town,MMR008011701,township_054
town_099,Falam Town,MMR004001701,township_055
town_100,Rihkhawdar Town,MMR004001702,township_055
town_101,Webula Town,MMR004001703,township_055
town_102,Hakha Town,MMR004002701,township_056
town_103,Surkhua Town,MMR004002702,township_056
town_104,Kanpetlet Town,MMR004008701,township_057
town_105,Kyin Dway Town,MMR004008702,township_057
town_106,Lalengpi Town,MMR004007703,township_058
town_107,Matupi Town,MMR004007701,township_058
town_108,Rezua Town,MMR004007702,township_058
town_109,Mindat Town,MMR004006701,township_059
town_110,M'kuiimnu Town,MMR004006702,township_059
town_111,Paletwa Town,MMR004009701,township_060
town_112,Samee Town,MMR004009702,township_060
town_113,Khaikam Town,MMR004004702,township_061
town_114,Tedim Town,MMR004004701,township_061
town_115,Hnaring Town,MMR004003702,township_062
town_116,Thantlang Town,MMR004003701,township_062
town_117,Cikha Town,MMR004005702,township_063
town_118,Tonzang Town,MMR004005701,township_063
town_119,Bhamo Town,MMR001010701,township_064
town_120,Chipwi Town,MMR001005701,township_065
town_121,Pang War Town,MMR001005702,township_065
town_122,Hpakant Town,MMR001009701,township_066
town_123,Kamaing Town,MMR001009702,township_066
town_124,Injangyang Town,MMR001003701,township_067
town_125,Khaunglanhpu Town,MMR001018701,township_068
town_126,Machanbaw Town,MMR001016701,township_069
town_127,Mansi Town,MMR001013701,township_070
town_128,Mogaung Town,MMR001008701,township_071
town_129,Nammatee Town,MMR001008702,township_071
town_130,Hopin Town,MMR001007702,township_072
town_131,Inn Taw Gyi Town,MMR001007703,township_072
town_132,Mohnyin Town,MMR001007701,township_072
town_133,Nam Mar Town,MMR001007705,township_072
town_134,Nam Mun Town,MMR001007704,township_072
town_135,Dawthponeyan Town,MMR001012703,township_073
town_136,Lwegel Town,MMR001012702,township_073
town_137,Momauk Town,MMR001012701,township_073
town_138,Myitkyina Town,MMR001001701,township_074
town_139,Sinbo Town,MMR001001702,township_074
town_140,Nawngmun Town,MMR001017701,township_075
town_141,Pannandin Town,MMR001017702,township_075
town_142,Puta-O Town,MMR001014701,township_076
town_143,Myo Hla Town,MMR001011702,township_077
town_144,Shwegu Town,MMR001011701,township_077
town_145,Sumprabum Town,MMR001015701,township_078
town_146,Shin Bway Yang Town,MMR001004702,township_079
town_147,Tanai Town,MMR001004701,township_079
town_148,Tsawlaw Town,MMR001006701,township_080
town_149,Kan Paik Ti Town,MMR001002703,township_081
town_150,Sadung Town,MMR001002702,township_081
town_151,Waingmaw Town,MMR001002701,township_081
town_152,Bawlake Town,MMR002005701,township_082
town_153,Ywarthit Town,MMR002005702,township_082
town_154,Demoso Town,MMR002002701,township_083
