id,name,p_code,township_id:id,town_id:id,ward_type
ward_00001,No (1) Ward,MMR017024701501,township_001,town_001,ward
ward_00002,No (10) Ward,MMR017024701510,township_001,town_001,ward
ward_00003,No (2) Ward,MMR017024701502,township_001,town_001,ward
ward_00004,No (3) Ward,MMR017024701503,township_001,town_001,ward
ward_00005,No (4) Ward,MMR017024701504,township_001,town_001,ward
ward_00006,No (5) Ward,MMR017024701505,township_001,town_001,ward
ward_00007,No (6) Ward,MMR017024701506,township_001,town_001,ward
ward_00008,No (7) Ward,MMR017024701507,township_001,town_001,ward
ward_00009,No (8) Ward,MMR017024701508,township_001,town_001,ward
ward_00010,No (9) Ward,MMR017024701509,township_001,town_001,ward
ward_00011,No (1) Ward,MMR017022701501,township_002,town_002,ward
ward_00012,No (10) Ward,MMR017022701510,township_002,town_002,ward
ward_00013,No (11) Ward,MMR017022701511,township_002,town_002,ward
ward_00014,No (12) Ward,MMR017022701512,township_002,town_002,ward
ward_00015,No (13) Ward,MMR017022701513,township_002,town_002,ward
ward_00016,No (14) Ward,MMR017022701514,township_002,town_002,ward
ward_00017,No (15) Ward,MMR017022701515,township_002,town_002,ward
ward_00018,No (16) Ward,MMR017022701516,township_002,town_002,ward
ward_00019,No (17) Ward,MMR017022701517,township_002,town_002,ward
ward_00020,No (18) Ward,MMR017022701518,township_002,town_002,ward
ward_00021,No (2) Ward,MMR017022701502,township_002,town_002,ward
ward_00022,No (3) Ward,MMR017022701503,township_002,town_002,ward
ward_00023,No (4) Ward,MMR017022701504,township_002,town_002,ward
ward_00024,No (5) Ward,MMR017022701505,township_002,town_002,ward
ward_00025,No (6) Ward,MMR017022701506,township_002,town_002,ward
ward_00026,No (7) Ward,MMR017022701507,township_002,town_002,ward
ward_00027,No (8) Ward,MMR017022701508,township_002,town_002,ward
ward_00028,No (9) Ward,MMR017022701509,township_002,town_002,ward
ward_00029,No (1) Ward,MMR017026701501,township_003,town_003,ward
ward_00030,No (2) Ward,MMR017026701502,township_003,town_003,ward
ward_00031,No (3) Ward,MMR017026701503,township_003,town_003,ward
ward_00032,Ah Htet Paing Ward,MMR017015701502,township_004,town_004,ward
ward_00033,Chaung Wa Paing Ward,MMR017015701501,township_004,town_004,ward
ward_00034,Ein Me Gyi Paing Ward,MMR017015701503,township_004,town_004,ward
ward_00035,Lel Paw Paing Ward,MMR017015701504,township_004,town_004,ward
ward_00036,Sar Chun Khan Paing Ward,MMR017015701505,township_004,town_004,ward
ward_00037,No (1) Ward,MMR017008703501,township_005,town_005,ward
ward_00038,No (2) Ward,MMR017008703502,township_005,town_005,ward
ward_00039,No (3) Ward,MMR017008703503,township_005,town_005,ward
ward_00040,No (4) Ward,MMR017008703504,township_005,town_005,ward
ward_00041,No (5) Ward,MMR017008703505,township_005,town_005,ward
ward_00042,Aye Mya Thar Yar Ward,MMR017008701522,township_005,town_006,ward
ward_00043,Hpa Yar Gyi Ward,MMR017008701516,township_005,town_006,ward
ward_00044,Ka Naung Su Ward,MMR017008701517,township_005,town_006,ward
ward_00045,Kin Ward,MMR017008701512,township_005,town_006,ward
ward_00046,Lel Ti Kwin Ward,MMR017008701520,township_005,town_006,ward
ward_00047,Let Tha Mar (North) Ward,MMR017008701505,township_005,town_006,ward
ward_00048,Let Tha Mar (South) Ward,MMR017008701523,township_005,town_006,ward
ward_00049,Mya Wa Di Ward,MMR017008701521,township_005,town_006,ward
ward_00050,Nyaung Pin Ward,MMR017008701502,township_005,town_006,ward
ward_00051,Pa Da Myar Ward,MMR017008701518,township_005,town_006,ward
ward_00052,Pa Khan Chaung Ward,MMR017008701513,township_005,town_006,ward
ward_00053,Pan Be Dan Ward,MMR017008701515,township_005,town_006,ward
ward_00054,Pyin Ma Chaung Ward,MMR017008701501,township_005,town_006,ward
ward_00055,Shwe Ku Ward,MMR017008701510,township_005,town_006,ward
ward_00056,Tar Ka Lay Ward,MMR017008701514,township_005,town_006,ward
ward_00057,Tar Ngar Se (North) Ward,MMR017008701503,township_005,town_006,ward
ward_00058,Tar Ngar Se (South) Ward,MMR017008701504,township_005,town_006,ward
ward_00059,Thone Pin Kwin Ward,MMR017008701519,township_005,town_006,ward
ward_00060,U Yin (North) Ward,MMR017008701508,township_005,town_006,ward
ward_00061,U Yin (South) Ward,MMR017008701509,township_005,town_006,ward
ward_00062,Yone Gyi Ward,MMR017008701507,township_005,town_006,ward
ward_00063,Za Kar Ward,MMR017008701511,township_005,town_006,ward
ward_00064,No (1) Ward,MMR017008702501,township_005,town_007,ward
ward_00065,No (2) Ward,MMR017008702502,township_005,town_007,ward
ward_00066,No (3) Ward,MMR017008702503,township_005,town_007,ward
ward_00067,No (4) Ward,MMR017008702504,township_005,town_007,ward
ward_00068,No (5) Ward,MMR017008702505,township_005,town_007,ward
ward_00069,No (1) Ward,MMR017013702501,township_006,town_008,ward
ward_00070,No (2) Ward,MMR017013702502,township_006,town_008,ward
ward_00071,No (3) Ward,MMR017013702503,township_006,town_008,ward
ward_00072,No (4) Ward,MMR017013702504,township_006,town_008,ward
ward_00073,No (5) Ward,MMR017013702505,township_006,town_008,ward
ward_00074,No (1) Ward,MMR017013701501,township_006,town_009,ward
ward_00075,No (2) Ward,MMR017013701502,township_006,town_009,ward
ward_00076,No (3) Ward,MMR017013701503,township_006,town_009,ward
ward_00077,No (1) Ward,MMR017013703501,township_006,town_010,ward
ward_00078,No (2) Ward,MMR017013703502,township_006,town_010,ward
ward_00079,No (3) Ward,MMR017013703503,township_006,town_010,ward
ward_00080,No (4) Ward,MMR017013703504,township_006,town_010,ward
ward_00081,No (1) Ward,MMR017002701501,township_007,town_011,ward
ward_00082,No (2) Ward,MMR017002701502,township_007,town_011,ward
ward_00083,No (3) Ward,MMR017002701503,township_007,town_011,ward
ward_00084,No (4) Ward,MMR017002701504,township_007,town_011,ward
ward_00085,No (5) Ward,MMR017002701505,township_007,town_011,ward
ward_00086,No (6) Ward,MMR017002701506,township_007,town_011,ward
ward_00087,No (7) Ward,MMR017002701507,township_007,town_011,ward
ward_00088,No (1) Ward,MMR017025701501,township_008,town_012,ward
ward_00089,No (2) Ward,MMR017025701502,township_008,town_012,ward
ward_00090,No (3) Ward,MMR017025701503,township_008,town_012,ward
ward_00091,No (4) Ward,MMR017025701504,township_008,town_012,ward
ward_00092,No (5) Ward,MMR017025701505,township_008,town_012,ward
ward_00093,No (6) Ward,MMR017025701506,township_008,town_012,ward
ward_00094,No (1) Ward,MMR017012702501,township_009,town_013,ward
ward_00095,No (2) Ward,MMR017012702502,township_009,town_013,ward
ward_00096,Myo Ma Ward,MMR017012701501,township_009,town_014,ward
ward_00097,Shwe Taung Su Ward,MMR017012701503,township_009,town_014,ward
ward_00098,Ywar Thit Ward,MMR017012701502,township_009,town_014,ward
ward_00099,No (1) Ward,MMR017007701501,township_010,town_015,ward
ward_00100,No (2) Ward,MMR017007701502,township_010,town_015,ward
ward_00101,No (3) Ward,MMR017007701503,township_010,town_015,ward
ward_00102,No (4) Ward,MMR017007701504,township_010,town_015,ward
ward_00103,No (5) Ward,MMR017007701505,township_010,town_015,ward
ward_00104,No (1) Ward,MMR017005702501,township_011,town_016,ward
ward_00105,No (2) Ward,MMR017005702502,township_011,town_016,ward
ward_00106,No (3) Ward,MMR017005702503,township_011,town_016,ward
ward_00107,No (4) Ward,MMR017005702504,township_011,town_016,ward
ward_00108,Aung San Ward,MMR017005701504,township_011,town_017,ward
ward_00109,Mya Wa Di Ward,MMR017005701502,township_011,town_017,ward
ward_00110,Pin Lon Ward,MMR017005701503,township_011,town_017,ward
ward_00111,Tay Za Ward,MMR017005701501,township_011,town_017,ward
ward_00112,No (1) Ward,MMR017016704501,township_012,town_018,ward
ward_00113,No (2) Ward,MMR017016704502,township_012,town_018,ward
ward_00114,No (3) Ward,MMR017016704503,township_012,town_018,ward
ward_00115,No (1) Ward,MMR017016703501,township_012,town_019,ward
ward_00116,No (2) Ward,MMR017016703502,township_012,town_019,ward
ward_00117,No (3) Ward,MMR017016703503,township_012,town_019,ward
ward_00118,No (4) Ward,MMR017016703504,township_012,town_019,ward
ward_00119,No (1) Ward,MMR017016701501,township_012,town_020,ward
ward_00120,No (10) Ward,MMR017016701510,township_012,town_020,ward
ward_00121,No (2) Ward,MMR017016701502,township_012,town_020,ward
ward_00122,No (3) Ward,MMR017016701503,township_012,town_020,ward
ward_00123,No (4) Ward,MMR017016701504,township_012,town_020,ward
ward_00124,No (5) Ward,MMR017016701505,township_012,town_020,ward
