id,name,code,country_id:id,name_mm
mm_state_001,Kachin,MMR001,base.mm,ကချင်ပြည်နယ်
mm_state_002,Kayah,MMR002,base.mm,ကယားပြည်နယ်
mm_state_003,Kayin,MMR003,base.mm,ကရင်ပြည်နယ်
mm_state_004,Chin,MMR004,base.mm,ချင်းပြည်နယ်
mm_state_005,Sagaing,MMR005,base.mm,စစ်ကိုင်းတိုင်းဒေသကြီး
mm_state_006,Tanintharyi,MMR006,base.mm,တနင်္သာရီတိုင်းဒေသကြီး
mm_state_007,Bago (East),MMR007,base.mm,ပဲခူးတိုင်းဒေသကြီး (အရှေ့)
mm_state_008,Bago (West),MMR008,base.mm,ပဲခူးတိုင်းဒေသကြီး (အနောက်)
mm_state_009,Magway,MMR009,base.mm,မကွေးတိုင်းဒေသကြီး
mm_state_010,Mandalay,MMR010,base.mm,မန္တလေးတိုင်းဒေသကြီး
mm_state_011,Mon,MMR011,base.mm,မွန်ပြည်နယ်
mm_state_012,Rakhine,MMR012,base.mm,ရခိုင်ပြည်နယ်
mm_state_013,Yangon,MMR013,base.mm,ရန်ကုန်တိုင်းဒေသကြီး
mm_state_014,Shan (South),MMR014,base.mm,ရှမ်းပြည်နယ် (တောင်)
mm_state_015,Shan (North),MMR015,base.mm,ရှမ်းပြည်နယ် (မြောက်)
mm_state_016,Shan (East),MMR016,base.mm,ရှမ်းပြည်နယ် (အရှေ့)
mm_state_017,Ayeyarwady,MMR017,base.mm,ဧရာဝတီတိုင်းဒေသကြီး
mm_state_018,Nay Pyi Taw,MMR018,base.mm,နေပြည်တော်
