id,name,code,township_id:id,name_mm
town_001001701,Myitkyina Town,MMR001001701,township_001001,မြစ်ကြီးနား
town_001001702,Sinbo Town,MMR001001702,township_001001,ဆင်ဘို
town_001002701,Waingmaw Town,MMR001002701,township_001002,ဝိုင်းမော်
town_001002702,Sadung Town,MMR001002702,township_001002,ဆဒုံး
town_001002703,Kan Paik Ti Town,MMR001002703,township_001002,ကန်ပိုက်တီ
town_001003701,Injangyang Town,MMR001003701,township_001003,အင်ဂျန်းယန်
town_001004701,Tanai Town,MMR001004701,township_001004,တနိုင်း
town_001004702,Shin Bway Yang Town,MMR001004702,township_001004,ရှင်ဗွေယန်
town_001005701,Chipwi Town,MMR001005701,township_001005,ချီဖွေ
town_001005702,Pang War Town,MMR001005702,township_001005,ပန်ဝါ
town_001006701,Tsawlaw Town,MMR001006701,township_001006,ဆော့လော်
town_001007701,Mohnyin Town,MMR001007701,township_001007,မိုးညှင်း
town_001007702,Hopin Town,MMR001007702,township_001007,ဟိုပင်
town_001007703,Inn Taw Gyi Town,MMR001007703,township_001007,အင်းတော်ကြီး
town_001007704,Nam Mun Town,MMR001007704,township_001007,နန့်မွန်း
town_001007705,Nam Mar Town,MMR001007705,township_001007,နန်းမား
town_001008701,Mogaung Town,MMR001008701,township_001008,မိုးကောင်း
town_001008702,Nammatee Town,MMR001008702,township_001008,နမ္မတီး
town_001009701,Hpakant Town,MMR001009701,township_001009,ဖားကန့်
town_001009702,Kamaing Town,MMR001009702,township_001009,ကာမိုင်း
town_001010701,Bhamo Town,MMR001010701,township_001010,ဗန်းမော်
town_001011701,Shwegu Town,MMR001011701,township_001011,ရွှေကူ
town_001011702,Myo Hla Town,MMR001011702,township_001011,မြို့လှ
town_001012701,Momauk Town,MMR001012701,township_001012,မိုးမောက်
town_001012702,Lwegel Town,MMR001012702,township_001012,လွယ်ဂျယ်
town_001012703,Dawthponeyan Town,MMR001012703,township_001012,ဒေါ့ဖုန်းယန်
town_001013701,Mansi Town,MMR001013701,township_001013,မံစီ
town_001014701,Puta-O Town,MMR001014701,township_001014,ပူတာအို
town_001015701,Sumprabum Town,MMR001015701,township_001015,ဆွမ်ပရာဘွမ်
town_001016701,Machanbaw Town,MMR001016701,township_001016,မချမ်းဘော
town_001017701,Nawngmun Town,MMR001017701,township_001017,နောင်မွန်း
town_001017702,Pannandin Town,MMR001017702,township_001017,ပန်နန်းဒင်
town_001018701,Khaunglanhpu Town,MMR001018701,township_001018,ခေါင်လန်ဖူး
town_002001701,Loikaw Town,MMR002001701,township_002001,လွိုင်ကော်
town_002001702,Loilen Lay Town,MMR002001702,township_002001,လွိုင်လင်လေး
town_002001703,Law Pi Ta Town,MMR002001703,township_002001,လောပိတ
town_002002701,Demoso Town,MMR002002701,township_002002,ဒီးမော့ဆို
town_002002702,Nan Mei Khon Town,MMR002002702,township_002002,နန်းမယ်ခုံ
town_002003701,Hpruso Town,MMR002003701,township_002003,ဖရူဆို
town_002004701,Shadaw Town,MMR002004701,township_002004,ရှားတော
town_002005701,Bawlake Town,MMR002005701,township_002005,ဘောလခဲ
town_002005702,Ywarthit Town,MMR002005702,township_002005,ရွာသစ်
town_002006701,Hpasawng Town,MMR002006701,township_002006,ဖားဆောင်း
town_002007701,Mese Town,MMR002007701,township_002007,မယ်စဲ
town_003001701,Hpa-An Town,MMR003001701,township_003001,ဘားအံ
town_003002701,Hlaingbwe Town,MMR003002701,township_003002,လှိုင်းဘွဲ့
town_003002702,Paingkyon Town,MMR003002702,township_003002,ပိုင်ကျုံ
town_003002703,Shan Ywar Thit Town,MMR003002703,township_003002,ရှမ်းရွာသစ်
