id,name,code,zip,district_id:id,latitude,longitude
township_001001,Myitkyina,MMR001001,,district_001D001,25.08336,97.214765
township_001002,Waingmaw,MMR001002,,district_001D001,25.38375667,97.82005333
township_001003,Injangyang,MMR001003,,district_001D001,25.82991,97.72671
township_001004,Tanai,MMR001004,,district_001D001,26.526375,96.462975
township_001005,Chipwi,MMR001005,,district_001D001,25.742505,98.254195
township_001006,Tsawlaw,MMR001006,,district_001D001,26.15419,98.27049
township_001007,Mohnyin,MMR001007,,district_001D002,24.948106,96.394754
township_001008,Mogaung,MMR001008,,district_001D002,25.340545,96.97467
township_001009,Hpakant,MMR001009,,district_001D002,25.5677,96.511825
township_001010,Bhamo,MMR001010,,district_001D003,24.25493,97.23441
township_001011,Shwegu,MMR001011,,district_001D003,24.342755,96.73064
township_001012,Momauk,MMR001012,,district_001D003,24.35475,97.50952333
township_001013,Mansi,MMR001013,,district_001D003,24.11962,97.29311
township_001014,Puta-O,MMR001014,,district_001D004,27.29934,97.4159
township_001015,Sumprabum,MMR001015,,district_001D004,26.54373,97.5677
township_001016,Machanbaw,MMR001016,,district_001D004,27.28395,97.58937
township_001017,Nawngmun,MMR001017,,district_001D004,27.61671,97.847235
township_001018,Khaunglanhpu,MMR001018,,district_001D004,27.06043,98.36034
township_002001,Loikaw,MMR002001,,district_002D001,19.70034333,97.25700667
township_002002,Demoso,MMR002002,,district_002D001,19.60396,97.133955
township_002003,Hpruso,MMR002003,,district_002D001,19.41387,97.12799
township_002004,Shadaw,MMR002004,,district_002D001,19.63174,97.52073
township_002005,Bawlake,MMR002005,,district_002D002,19.169645,97.42117
township_002006,Hpasawng,MMR002006,,district_002D002,18.87063,97.31592
township_002007,Mese,MMR002007,,district_002D002,18.67246,97.66277
township_003001,Hpa-An,MMR003001,,district_003D001,16.88076,97.63691
township_003002,Hlaingbwe,MMR003002,,district_003D001,17.19060667,97.89748667
township_003003,Hpapun,MMR003003,,district_003D004,17.70497,97.548055
township_003004,Thandaunggyi,MMR003004,,district_003D001,19.058,96.6561875
township_003005,Myawaddy,MMR003005,,district_003D002,16.37899667,98.60749667
township_003006,Kawkareik,MMR003006,,district_003D003,16.574995,98.141745
township_003007,Kyainseikgyi,MMR003007,,district_003D003,15.78258667,98.29799333
township_004001,Falam,MMR004001,,district_004D001,23.09627333,93.66077667
township_004002,Hakha,MMR004002,,district_004D003,22.44782,93.619495
township_004003,Thantlang,MMR004003,,district_004D003,22.444115,93.43195
township_004004,Tedim,MMR004004,,district_004D001,23.29404,93.805645
township_004005,Tonzang,MMR004005,,district_004D001,23.74641,93.61261
township_004006,Mindat,MMR004006,,district_004D002,21.27223,93.784075
township_004007,Matupi,MMR004007,,district_004D004,21.87228,93.32124333
township_004008,Kanpetlet,MMR004008,,district_004D002,21.083185,93.94743
township_004009,Paletwa,MMR004009,,district_004D004,21.29887,92.97555
township_005001,Sagaing,MMR005001,,district_005D001,22.02199,95.859855
township_005002,Myinmu,MMR005002,,district_005D001,21.92681,95.57157
township_005003,Myaung,MMR005003,,district_005D001,21.83164,95.42425
township_005004,Shwebo,MMR005004,,district_005D002,22.581625,95.82172
township_005005,Khin-U,MMR005005,,district_005D002,22.77016,95.62149
township_005006,Wetlet,MMR005006,,district_005D002,22.36715,95.78812
township_005007,Kanbalu,MMR005007,,district_005D010,23.067075,95.54123
township_005008,Kyunhla,MMR005008,,district_005D010,23.31964,95.5321
township_005009,Ye-U,MMR005009,,district_005D002,22.76914,95.43049
township_005010,Tabayin,MMR005010,,district_005D002,22.620695,95.278905
township_005011,Taze,MMR005011,,district_005D002,22.94407,95.37361
township_005012,Monywa,MMR005012,,district_005D003,22.12168,95.13963
township_005013,Budalin,MMR005013,,district_005D003,22.38918,95.14857
township_005014,Ayadaw,MMR005014,,district_005D003,22.28525,95.45068
township_005015,Chaung-U,MMR005015,,district_005D003,21.95693,95.27363
township_005016,Yinmarbin,MMR005016,,district_005D009,22.07779,94.90014
township_005017,Kani,MMR005017,,district_005D009,22.43291,94.84847
township_005018,Salingyi,MMR005018,,district_005D009,21.97363,95.08269
township_005019,Pale,MMR005019,,district_005D009,21.93415,94.87486
township_005020,Katha,MMR005020,,district_005D004,24.18163,96.33167
township_005021,Indaw,MMR005021,,district_005D004,24.34371,96.160635
township_005022,Tigyaing,MMR005022,,district_005D004,23.75452,96.14833
township_005023,Banmauk,MMR005023,,district_005D004,24.39986,95.85767
township_005024,Kawlin,MMR005024,,district_005D011,23.79026,95.68339
township_005025,Wuntho,MMR005025,,district_005D011,23.89924,95.68193
township_005026,Pinlebu,MMR005026,,district_005D011,24.08089,95.37026
township_005027,Kale,MMR005027,,district_005D005,23.1933,94.02977
township_005028,Kalewa,MMR005028,,district_005D005,23.1998,94.30036
township_005029,Mingin,MMR005029,,district_005D005,22.87781,94.4942
township_005030,Tamu,MMR005030,,district_005D006,24.16888333,94.32655333
township_005031,Mawlaik,MMR005031,,district_005D007,23.63512,94.41201
township_005032,Paungbyin,MMR005032,,district_005D007,24.26768,94.81686
township_005033,Hkamti,MMR005033,,district_005D008,25.99243,95.69547
township_005034,Homalin,MMR005034,,district_005D008,24.87708,94.86895
township_005035,Layshi,MMR005035,,district_005S001,,
township_005036,Lahe,MMR005036,,district_005S001,26.145915,95.341305
township_005037,Nanyun,MMR005037,,district_005S001,26.99744,96.04194
township_006001,Dawei,MMR006001,,district_006D001,14.12054,98.358265
township_006002,Launglon,MMR006002,,district_006D001,13.97522,98.11963
township_006003,Thayetchaung,MMR006003,,district_006D001,13.8687,98.26252
township_006004,Yebyu,MMR006004,,district_006D001,14.434855,98.1707
