id,name,p_code,postal_code,ward_type,township_id:id,town_id:id,name_mm
vt_001001001,Alam,MMR001001001,0101200,village_tract,township_001001,,အာလမ်
vt_001001002,Nawng Nang,MMR001001002,0101201,village_tract,township_001001,,နောင်နန်း
vt_001001003,Pa La Na Sa Khan Myar,MMR001001003,0101202,village_tract,township_001001,,ပလနစခန်းများ
vt_001001004,Nam Kyin,MMR001001004,0101203,village_tract,township_001001,,နန့်ကျင်
vt_001001005,Nam Kwayt,MMR001001005,0101204,village_tract,township_001001,,နန်းကွေ့
vt_001001006,Pam Ma Tee,MMR001001006,0101205,village_tract,township_001001,,ပမ္မတီး
vt_001001007,Maw Hpawng,MMR001001007,0101206,village_tract,township_001001,,မော်ဖေါင်း
vt_001001008,Sha Daung,MMR001001008,0101207,village_tract,township_001001,,ရှဒေါင်
vt_001001009,Loi Hkaw,MMR001001009,0101208,village_tract,township_001001,,လွယ်ခေါ
vt_001001010,Tang Hpe,MMR001001010,0101209,village_tract,township_001001,,တန်ဖဲ
vt_001001011,In Jit Yang,MMR001001011,0101210,village_tract,township_001001,,အင်ဂျစ်ယန်
vt_001001012,Ti Yang Zug,MMR001001012,0101211,village_tract,township_001001,,တီယန်ဇွပ်
vt_001001013,Ta Law Gyi,MMR001001013,0101212,village_tract,township_001001,,တာလောကြီး
vt_001001014,Hkawng Hpu Ywar Thit,MMR001001014,0101213,village_tract,township_001001,,ခေါင်ဖူးရွာသစ်
vt_001001015,Hkawng Hpu Ywar Haung,MMR001001015,0101214,village_tract,township_001001,,ခေါင်ဖူးရွာဟောင်း
vt_001001016,Ho Kat,MMR001001016,0101215,village_tract,township_001001,,ဟိုကပ်
vt_001001017,San Kin,MMR001001017,0101216,village_tract,township_001001,,စံကင်း
vt_001001018,Ah Kye,MMR001001018,0101217,village_tract,township_001001,,အကြဲ
vt_001001019,Myin Thar,MMR001001019,0101218,village_tract,township_001001,,မြင်သာ
vt_001001020,Yae Nar Pin Lon,MMR001001020,0101219,village_tract,township_001001,,ရေနားပင်လုံ
vt_001001021,Pin Taw,MMR001001021,0101220,village_tract,township_001001,,ပင်တော်
vt_001001022,Taw Pin Long,MMR001001022,0101221,village_tract,township_001001,,တောပင်လုံ
