id,name,postcode,township_id:id
zip_01011,Myitkyina,01011,township_001001
zip_01012,Myitkyina University,01012,township_001001
zip_01013,Mankein,01013,township_001001
zip_01014,Aungmyintha,01014,township_001001
zip_01015,Mapakha,01015,township_001001
zip_01016,Tarlawgyi,01016,township_001001
zip_01017,Myothitgyi,01017,township_001001
zip_01018,Pyihtaung,01018,township_001001
zip_01031,Naungmon,01031,township_001017
zip_01032,Pannandin,01032,township_001017
zip_01041,Machanbaw,01041,township_001016
zip_01051,Putao,01051,township_001014
zip_01052,Putao airport,01052,township_001014
zip_01061,Sunpayabom,01061,township_001015
zip_01071,Chibwe,01071,township_001005
zip_01072,Panwar,01072,township_001005
zip_01081,Waingmaw,01081,township_001002
zip_01082,Sadone,01082,township_001002
zip_01083,Kanbaiti,01083,township_001002
zip_01084,Warshaung,01084,township_001002
zip_01085,Khatcho,01085,township_001002
zip_01091,Taning,01091,township_001004
zip_01092,Shinbweyan,01092,township_001004
zip_01101,Namtee,01101,township_001008
zip_01102,Sarhmaw,01102,township_001008
zip_01103,Mogaung,01103,township_001008
zip_01104,Pinbaw,01104,township_001008
zip_01105,Nammana,01105,township_001008
zip_01106,Mayan,01106,township_001008
zip_01111,Mohnyin,01111,township_001007
zip_01112,Hopin,01112,township_001007
zip_01113,Nanmar,01113,township_001007
zip_01114,Nantmon,01114,township_001007
zip_01115,Nantsiaung,01115,township_001007
zip_01116,Mawhan,01116,township_001007
zip_01117,Loneton,01117,township_001007
zip_01121,Shwegu,01121,township_001011
zip_01122,Myohla,01122,township_001011
zip_01123,Sinkham,01123,township_001011
zip_01131,Bhamaw,01131,township_001010
zip_01132,Bhamaw University,01132,township_001010
zip_01141,Mansi,01141,township_001013
zip_01142,Manweingyi,01142,township_001013
zip_01151,Momauk,01151,township_001012
zip_01152,Myothit,01152,township_001012
zip_01153,Dawphoneyan,01153,township_001012
zip_01154,Lwegel,01154,township_001012
zip_01155,Seinlonkabar,01155,township_001012
zip_01161,Phakant,01161,township_001009
zip_01162,Karmine,01162,township_001009
zip_01163,Shaduzut,01163,township_001009
zip_01164,Lonekhin,01164,township_001009
zip_01165,Dunban,01165,township_001009
zip_01171,Sawlaw,01171,township_001006
zip_01181,Khaunglanphu,01181,township_001018
zip_01191,Sinbo,01191,township_001001
zip_01201,Ingyanyan,01201,township_001003
zip_02011,Nanyun,02011,township_005037
zip_02012,Pansaug,02012,township_005037
zip_02013,Donhee,02013,township_005037
zip_02021,Laheir,02021,township_005036
zip_02022,Htanparkhwe,02022,township_005036
zip_02031,Khantee,02031,township_005033
zip_02041,Layshee,02041,township_005035
zip_02051,Homalin,02051,township_005034
zip_02052,Htamanthi,02052,township_005034
zip_02053,Naungpoaung,02053,township_005034
zip_02061,Phaungpyin,02061,township_005032
zip_02062,Thanga,02062,township_005032
zip_02063,Minyar,02063,township_005032
zip_02064,Taungthut,02064,township_005032
zip_02071,Tamu,02071,township_005030
zip_02072,Mintha,02072,township_005030
zip_02073,Uaungzayya,02073,township_005030
zip_02074,Bandoola,02074,township_005030
zip_02075,Myothit,02075,township_005030
zip_02076,Khanpart,02076,township_005030
zip_02081,Mawlaik,02081,township_005031
zip_02082,Kindat,02082,township_005031
zip_02091,Kalemyo,02091,township_005027
zip_02092,Tahan,02092,township_005027
zip_02093,Natchaung,02093,township_005027
zip_02094,Myokesee,02094,township_005027
zip_02101,Kalewa,02101,township_005028
zip_02102,Masein,02102,township_005028
zip_02111,Minkin,02111,township_005029
zip_02112,Kyarpin,02112,township_005029
zip_02113,Moukkataw,02113,township_005029
zip_02121,Kani,02121,township_005017
zip_02122,Kin,02122,township_005017
zip_02131,Banmauk,02131,township_005023
zip_02141,Indaw,02141,township_005021
zip_02142,Mawluu,02142,township_005021
zip_02142,Mowinelute,02142,township_005021
zip_02143,Nabar,02143,township_005021
zip_02144,Meza,02144,township_005021
zip_02151,Katha,02151,township_005020
zip_02152,Moda,02152,township_005020
zip_02153,Inywa,02153,township_005020
zip_02161,Pinlebu,02161,township_005026
zip_02171,Wuntho,02171,township_005025
zip_02172,Nankhan,02172,township_005025
zip_02173,Joehtaung,02173,township_005025
zip_02181,Kawlin,02181,township_005024
zip_02182,Koehtaungbo,02182,township_005024
zip_02191,Tigyaing,02191,township_005022
zip_02201,Kyunhla,02201,township_005008
zip_02211,Kantbalu,02211,township_005007
zip_02213,Chatthin,02213,township_005007
zip_02214,Htantabin,02214,township_005007
zip_02215,Kabo,02215,township_005007
zip_02216,HtanKone,02216,township_005007
zip_02221,Taze,02221,township_005011
zip_02231,Khin U,02231,township_005005
zip_02241,Yeu,02241,township_005009
zip_02251,Depeyin,02251,township_005010
zip_02261,Shwebo,02261,township_005004
zip_02262,Kyaukmyaung,02262,township_005004
zip_02263,Seikkon,02263,township_005004
zip_02264,Shwebo Collage,02264,township_005004
zip_02265,Paline,02265,township_005004
zip_02271,Budalin,02271,township_005013
zip_02281,Wetlet,02281,township_005006
zip_02282,Hlataw,02282,township_005006
zip_02291,Ahyadaw,02291,township_005014
zip_02301,Monywa,02301,township_005012
zip_02302,Monywa Bazaar,02302,township_005012
zip_02303,Ahlon,02303,township_005012
zip_02304,MonywaCollage,02304,township_005012
zip_02305,Namakha,02305,township_005012
zip_02306,Monywa (GTC),02306,township_005012
zip_02307,Sonechaung,02307,township_005012
zip_02308,Nyaungpingyi,02308,township_005012
zip_02309,Thazi,02309,township_005012
zip_02311,Yinmabin,02311,township_005016
zip_02321,Salingyi,02321,township_005018
zip_02322,Kyaesintaung,02322,township_005018
zip_02331,Chaung U,02331,township_005015
zip_02332,Khinmon,02332,township_005015
zip_02341,Myinmu,02341,township_005002
zip_02351,Pale,02351,township_005019
zip_02352,Mintaingpin,02352,township_005019
zip_02371,Sagaing,02371,township_005001
zip_02372,Sartaung,02372,township_005001
zip_02373,Nyaungpinwine,02373,township_005001
zip_02374,Ywathitgyi,02374,township_005001
zip_02375,Ywahtaung,02375,township_005001
zip_02376,Sagainghills,02376,township_005001
zip_02377,Padu,02377,township_005001
zip_02381,Myaung,02381,township_005003
zip_03011,Hakha,03011,township_004002
zip_03012,Su-Khua,03012,township_004002
zip_03013,Zokwar,03013,township_004002
zip_03014,Satter,03014,township_004002
zip_03015,Khonkyone,03015,township_004002
zip_03016,Thinan,03016,township_004002
zip_03017,Darochain,03017,township_004002
zip_03021,Htantalan,03021,township_004003
zip_03022,Hnarain,03022,township_004003
zip_03023,Thikee,03023,township_004003
zip_03024,Faroom,03024,township_004003
zip_03025,Harainkhan,03025,township_004003
zip_03031,Falam,03031,township_004001
zip_03032,Loneban,03032,township_004001
zip_03033,Reed,03033,township_004001
zip_03034,Ramkala,03034,township_004001
zip_03035,Kalawmon,03035,township_004001
zip_03041,Teetain,03041,township_004004
zip_03042,Htotehlaing,03042,township_004004
zip_03043,Kattel,03043,township_004004
zip_03044,Kalay University,03044,township_004004
zip_03045,Tweehtan,03045,township_004004
zip_03046,Saizang,03046,township_004004
zip_03051,Tunzan,03051,township_004005
zip_03052,Kyeekhar,03052,township_004005
zip_03061,Matupi,03061,township_004007
zip_03062,Rezwa,03062,township_004007
zip_03063,Lailanpi,03063,township_004007
zip_03064,Oakka,03064,township_004007
zip_03065,Sabaung the,03065,township_004007
zip_03071,Mindat,03071,township_004006
zip_03072,Dokeywar,03072,township_004006
zip_03073,Makweinnuu,03073,township_004006
zip_03074,Mamata,03074,township_004006
zip_03075,Aukchang,03075,township_004006
zip_03081,Kanpetlat,03081,township_004008
zip_03082,Shinbaung,03082,township_004008
zip_04011,Magwe,04011,township_009001
zip_04012,Magwe University,04012,township_009001
zip_04013,Myinkwon,04013,township_009001
zip_04014,Michaungye,04014,township_009001
zip_04015,Thityarkauk,04015,township_009001
zip_04016,Yanpae (Magwe),04016,township_009001
zip_04017,Thityarkauk (M.C),04017,township_009001
zip_04018,Basic Healt Unversity,04018,township_009001
zip_04021,Minbu,04021,township_009007
zip_04022,Minbuzay,04022,township_009007
zip_04023,Sagu,04023,township_009007
zip_04025,Manyenanmyae,04025,township_009007
zip_04031,Pwintpyu,04031,township_009008
zip_04032,Konezoung,04032,township_009008
zip_04033,Shaukttaw,04033,township_009008
zip_04034,Kyaungtawya,04034,township_009008
zip_04035,Mezali,04035,township_009008
zip_04036,Laekaing,04036,township_009008
zip_04041,Salinn,04041,township_009010
zip_04042,Sinphyukyun,04042,township_009010
zip_04043,Linzinn,04043,township_009010
zip_04044,Tanyaung,04044,township_009010
zip_04045,Kanpyar,04045,township_009010
zip_04051,Saytoketaya,04051,township_009011
zip_04061,Ngaphe,04061,township_009009
zip_04062,Padan,04062,township_009009
zip_04071,Minhla (Thayet),04071,township_009013
zip_04072,Malon,04072,township_009013
zip_04073,Kantoke,04073,township_009013
zip_04081,Sinpaungwe,04081,township_009017
zip_04082,Koebin,04082,township_009017
