id,name,name_mm,code,state_id:id,district_type
district_D001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,mm_state_001,district
district_D002,Mohnyin,မိုးညှင်းခရိုင်,MMR001D002,mm_state_001,district
district_D003,Bhamo,ဗန်းမော်ခရိုင်,MMR001D003,mm_state_001,district
district_D004,Puta-O,ပူတာအိုခရိုင်,MMR001D004,mm_state_001,district
district_D005,Loikaw,လွိုင်ကော်ခရိုင်,MMR002D001,mm_state_002,district
district_D006,Bawlake,ဘောလခဲခရိုင်,MMR002D002,mm_state_002,district
district_D007,Hpa-An,ဘားအံခရိုင်,MMR003D001,mm_state_003,district
district_D008,Myawaddy,မြဝတီခရိုင်,MMR003D002,mm_state_003,district
district_D009,Kawkareik,ကော့ကရိတ်ခရိုင်,MMR003D003,mm_state_003,district
district_D010,Hpapun,ဖာပွန်ခရိုင်,MMR003D004,mm_state_003,district
district_D011,Falam,ဖလမ်းခရိုင်,MMR004D001,mm_state_004,district
district_D012,Mindat,မင်းတပ်ခရိုင်,MMR004D002,mm_state_004,district
district_D013,Hakha,ဟားခါးခရိုင်,MMR004D003,mm_state_004,district
district_D014,Matupi,မတူပီခရိုင်,MMR004D004,mm_state_004,district
district_D015,Sagaing,စစ်ကိုင်းခရိုင်,MMR005D001,mm_state_005,district
district_D016,Shwebo,ရွှေဘိုခရိုင်,MMR005D002,mm_state_005,district
district_D017,Monywa,မုံရွာခရိုင်,MMR005D003,mm_state_005,district
district_D018,Katha,ကသာခရိုင်,MMR005D004,mm_state_005,district
district_D019,Kale,ကလေးခရိုင်,MMR005D005,mm_state_005,district
district_D020,Tamu,တမူးခရိုင်,MMR005D006,mm_state_005,district
district_D021,Mawlaik,မော်လိုက်ခရိုင်,MMR005D007,mm_state_005,district
district_D022,Hkamti,ခန္တီးခရိုင်,MMR005D008,mm_state_005,district
district_D023,Yinmarbin,ယင်းမာပင်ခရိုင်,MMR005D009,mm_state_005,district
district_D024,Kanbalu,ကန့်ဘလူခရိုင်,MMR005D010,mm_state_005,district
district_D025,Kawlin,ကောလင်းခရိုင်,MMR005D011,mm_state_005,district
district_D026,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MMR005S001,mm_state_005,saz
district_D027,Dawei,ထားဝယ်ခရိုင်,MMR006D001,mm_state_006,district
district_D028,Myeik,မြိတ်ခရိုင်,MMR006D002,mm_state_006,district
district_D029,Kawthoung,ကော့သောင်းခရိုင်,MMR006D003,mm_state_006,district
district_D030,Bago,ပဲခူးခရိုင်,MMR007D001,mm_state_007,district
district_D031,Taungoo,တောင်ငူခရိုင်,MMR007D002,mm_state_007,district
district_D032,Pyay,ပြည်ခရိုင်,MMR008D001,mm_state_008,district
district_D033,Thayarwady,သာယာဝတီခရိုင်,MMR008D002,mm_state_008,district
