id,name,name_mm,code,township_id:id
town_001,Bogale Town,ဘိုကလေး,MMR017024701,township_001
town_002,Danubyu Town,ဓနုဖြူ,MMR017022701,township_002
town_003,Dedaye Town,ဒေးဒရဲ,MMR017026701,township_003
town_004,Einme Town,အိမ်မဲ,MMR017015701,township_004
town_005,Du Yar Town,ဒူးယား,MMR017008703,township_005
town_006,Hinthada Town,ဟင်္သာတ,MMR017008701,township_005
town_007,Ta Loke Htaw Town,တလုတ္ထော်,MMR017008702,township_005
town_008,Htoogyi Town,ထူးကြီး,MMR017013702,township_006
town_009,Ingapu Town,အင်္ဂပူ,MMR017013701,township_006
town_010,Me Za Li Kone Town,မဲဇလီကုန်း,MMR017013703,township_006
town_011,Kangyidaunt Town,ကန်ကြီးထောင့်,MMR017002701,township_007
town_012,Kyaiklat Town,ကျိုက်လတ်,MMR017025701,township_008
town_013,Batye Town,ဘက်ရဲ,MMR017012702,township_009
town_014,Kyangin Town,ကြံခင်း,MMR017012701,township_009
town_015,Kyaunggon Town,ကျောင်းကုန်း,MMR017007701,township_010
town_016,Ahtaung Town,အထောင်,MMR017005702,township_011
town_017,Kyonpyaw Town,ကျုံပျော်,MMR017005701,township_011
town_018,Hainggyikyun Town,ဟိုင်းကြီးကျွန်း,MMR017016704,township_012
town_019,Labutta (3) Mile Town,လပွတ္တာ (၃) မိုင်,MMR017016703,township_012
town_020,Labutta Town,လပွတ္တာ,MMR017016701,township_012
town_021,Pyinsalu Town,ပြင်စလူ,MMR017016702,township_012
town_022,Lemyethna Town,လေးမျက်နှာ,MMR017010701,township_013
town_023,Maubin Town,မအူပင်,MMR017019701,township_014
town_024,Mawlamyinegyun Town,မော်လမြိုင်ကျွန်း,MMR017018701,township_015
town_025,In Pin Town,အင်ပင်,MMR017011703,township_016
town_026,Kanaung Town,ကနောင်,MMR017011702,township_016
town_027,Myanaung Town,မြန်အောင်,MMR017011701,township_016
town_028,Myaungmya Town,မြောင်းမြ,MMR017014701,township_017
town_029,Hainggyikyun Town,ဟိုင်းကြီးကျွန်း,MMR017004703,township_018
town_030,Ngapudaw Town,ငပုတော,MMR017004701,township_018
town_031,Ngayokekaung Town,ငရုတ်ကောင်း,MMR017004702,township_018
town_032,Nyaungdon Town,ညောင်တုန်း,MMR017021701,township_019
town_033,Pantanaw Town,ပန်းတနော်,MMR017020701,township_020
town_034,Chaung Thar Town,ချောင်းသာ,MMR017001704,township_021
town_035,Ngwesaung Town,ငွေဆောင်,MMR017001703,township_021
town_036,Pathein Town,ပုသိမ်,MMR017001701,township_021
town_037,Shwethaungyan Town,ရွှေသောင်ယံ,MMR017001702,township_021
town_038,Ahmar Town,အမာ,MMR017023702,township_022
