id,name,name_mm,code,district_id:id
township_001,Bogale,ဘိုကလေး,MMR017024,district_D086
township_002,Danubyu,ဓနုဖြူ,MMR017022,district_D085
township_003,Dedaye,ဒေးဒရဲ,MMR017026,district_D086
township_004,Einme,အိမ်မဲ,MMR017015,district_D083
township_005,Hinthada,ဟင်္သာတ,MMR017008,district_D082
township_006,Ingapu,အင်္ဂပူ,MMR017013,district_D082
township_007,Kangyidaunt,ကန်ကြီးထောင့်,MMR017002,district_D081
township_008,Kyaiklat,ကျိုက်လတ်,MMR017025,district_D086
township_009,Kyangin,ကြံခင်း,MMR017012,district_D082
township_010,Kyaunggon,ကျောင်းကုန်း,MMR017007,district_D081
township_011,Kyonpyaw,ကျုံပျော်,MMR017005,district_D081
township_012,Labutta,လပွတ္တာ,MMR017016,district_D084
township_013,Lemyethna,လေးမျက်နှာ,MMR017010,district_D082
township_014,Maubin,မအူပင်,MMR017019,district_D085
township_015,Mawlamyinegyun,မော်လမြိုင်ကျွန်း,MMR017018,district_D084
township_016,Myanaung,မြန်အောင်,MMR017011,district_D082
township_017,Myaungmya,မြောင်းမြ,MMR017014,district_D083
township_018,Ngapudaw,ငပုတော,MMR017004,district_D081
township_019,Nyaungdon,ညောင်တုန်း,MMR017021,district_D085
township_020,Pantanaw,ပန်းတနော်,MMR017020,district_D085
township_021,Pathein,ပုသိမ်,MMR017001,district_D081
township_022,Pyapon,ဖျာပုံ,MMR017023,district_D086
township_023,Thabaung,သာပေါင်း,MMR017003,district_D081
township_024,Wakema,ဝါးခယ်မ,MMR017017,district_D083
township_025,Yegyi,ရေကြည်,MMR017006,district_D081
township_026,Zalun,ဇလွန်,MMR017009,district_D082
township_027,Bago,ပဲခူး,MMR007001,district_D030
township_028,Daik-U,ဒိုက်ဦး,MMR007007,district_D030
township_029,Htantabin,ထန်းတပင်,MMR007014,district_D031
township_030,Kawa,ကဝ,MMR007003,district_D030
township_031,Kyaukkyi,ကျောက်ကြီး,MMR007011,district_D031
township_032,Kyauktaga,ကျောက်တံခါး,MMR007006,district_D030
township_033,Nyaunglebin,ညောင်လေးပင်,MMR007005,district_D030
township_034,Oktwin,အုတ်တွင်း,MMR007013,district_D031
township_035,Phyu,ဖြူး,MMR007012,district_D031
township_036,Shwegyin,ရွှေကျင်,MMR007008,district_D030
township_037,Taungoo,တောင်ငူ,MMR007009,district_D031
township_038,Thanatpin,သနပ်ပင်,MMR007002,district_D030
township_039,Waw,ဝေါ,MMR007004,district_D030
township_040,Yedashe,ရေတာရှည်,MMR007010,district_D031
township_041,Gyobingauk,ကြို့ပင်ကောက်,MMR008014,district_D033
township_042,Letpadan,လက်ပံတန်း,MMR008008,district_D033
township_043,Minhla,မင်းလှ,MMR008009,district_D033
township_044,Monyo,မိုးညို,MMR008013,district_D033
township_045,Nattalin,နတ်တလင်း,MMR008012,district_D033
township_046,Okpho,အုတ်ဖို,MMR008010,district_D033
township_047,Padaung,ပန်းတောင်း,MMR008003,district_D032
township_048,Paukkhaung,ပေါက်ခေါင်း,MMR008002,district_D032
township_049,Paungde,ပေါင်းတည်,MMR008004,district_D032
township_050,Pyay,ပြည်,MMR008001,district_D032
township_051,Shwedaung,ရွှေတောင်,MMR008006,district_D032
township_052,Thayarwady,သာယာဝတီ,MMR008007,district_D033
township_053,Thegon,သဲကုန်း,MMR008005,district_D032
township_054,Zigon,ဇီးကုန်း,MMR008011,district_D033
township_055,Falam,ဖလမ်း,MMR004001,district_D011
township_056,Hakha,ဟားခါး,MMR004002,district_D013
township_057,Kanpetlet,ကန်ပက်လက်,MMR004008,district_D012
township_058,Matupi,မတူပီ,MMR004007,district_D014
township_059,Mindat,မင်းတပ်,MMR004006,district_D012
township_060,Paletwa,ပလက်ဝ,MMR004009,district_D014
township_061,Tedim,တီးတိန်,MMR004004,district_D011
township_062,Thantlang,ထန်တလန်,MMR004003,district_D013
township_063,Tonzang,တွန်းဇန်,MMR004005,district_D011
township_064,Bhamo,ဗန်းမော်,MMR001010,district_D003
township_065,Chipwi,ချီ​ဖွေ,MMR001005,district_D001
township_066,Hpakant,ဖားကန့်,MMR001009,district_D002
township_067,Injangyang,အင်ဂျန်းယန်,MMR001003,district_D001
township_068,Khaunglanhpu,ခေါင်လန်ဖူး,MMR001018,district_D004
township_069,Machanbaw,မချမ်းဘော,MMR001016,district_D004
township_070,Mansi,မံစီ,MMR001013,district_D003
township_071,Mogaung,မိုးကောင်း,MMR001008,district_D002
township_072,Mohnyin,မိုးညှင်း,MMR001007,district_D002
township_073,Momauk,မိုးမောက်,MMR001012,district_D003
township_074,Myitkyina,မြစ်ကြီးနား,MMR001001,district_D001
township_075,Nawngmun,နောင်မွန်း,MMR001017,district_D004
township_076,Puta-O,ပူတာအို,MMR001014,district_D004
township_077,Shwegu,ရွှေကူ,MMR001011,district_D003
township_078,Sumprabum,ဆွမ်ပရာဘွမ်,MMR001015,district_D004
township_079,Tanai,တနိုင်း,MMR001004,district_D001
township_080,Tsawlaw,ဆော့လော်,MMR001006,district_D001
township_081,Waingmaw,ဝိုင်းမော်,MMR001002,district_D001
township_082,Bawlake,ဘောလခဲ,MMR002005,district_D006
township_083,Demoso,ဒီးမော့ဆို,MMR002002,district_D005
township_084,Hpasawng,ဖားဆောင်း,MMR002006,district_D006
township_085,Hpruso,ဖရူဆို,MMR002003,district_D005
township_086,Loikaw,လွိုင်ကော်,MMR002001,district_D005
