id,name,name_mm,p_code,township_id:id,town_id:id,ward_type
ward_00001,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,MMR017024701501,township_001,town_001,ward
ward_00002,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,MMR017024701510,township_001,town_001,ward
ward_00003,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,MMR017024701502,township_001,town_001,ward
ward_00004,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,MMR017024701503,township_001,town_001,ward
ward_00005,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,MMR017024701504,township_001,town_001,ward
ward_00006,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,MMR017024701505,township_001,town_001,ward
ward_00007,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,MMR017024701506,township_001,town_001,ward
ward_00008,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,MMR017024701507,township_001,town_001,ward
ward_00009,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,MMR017024701508,township_001,town_001,ward
ward_00010,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,MMR017024701509,township_001,town_001,ward
ward_00011,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,MMR017022701501,township_002,town_002,ward
ward_00012,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,MMR017022701510,township_002,town_002,ward
ward_00013,No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,MMR017022701511,township_002,town_002,ward
ward_00014,No (12) Ward,အမှတ် (၁၂) ရပ်ကွက်,MMR017022701512,township_002,town_002,ward
ward_00015,No (13) Ward,အမှတ် (၁၃) ရပ်ကွက်,MMR017022701513,township_002,town_002,ward
ward_00016,No (14) Ward,အမှတ် (၁၄) ရပ်ကွက်,MMR017022701514,township_002,town_002,ward
ward_00017,No (15) Ward,အမှတ် (၁၅) ရပ်ကွက်,MMR017022701515,township_002,town_002,ward
ward_00018,No (16) Ward,အမှတ် (၁၆) ရပ်ကွက်,MMR017022701516,township_002,town_002,ward
ward_00019,No (17) Ward,အမှတ် (၁၇) ရပ်ကွက်,MMR017022701517,township_002,town_002,ward
ward_00020,No (18) Ward,အမှတ် (၁၈) ရပ်ကွက်,MMR017022701518,township_002,town_002,ward
ward_00021,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,MMR017022701502,township_002,town_002,ward
ward_00022,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,MMR017022701503,township_002,town_002,ward
ward_00023,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,MMR017022701504,township_002,town_002,ward
ward_00024,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,MMR017022701505,township_002,town_002,ward
ward_00025,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,MMR017022701506,township_002,town_002,ward
ward_00026,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,MMR017022701507,township_002,town_002,ward
ward_00027,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,MMR017022701508,township_002,town_002,ward
